OrderID,CurrentClinicName1,CurrentClinicName2,CurrentClinicCity,CurrentClinicState,MedicalDirector,ND_NumIntentRet1,ND_NumIntentRet2,ND_NumIntentRet3,ND_NumIntentRet4,ND_IntentRetLB1,ND_IntentRetLB2,ND_IntentRetLB3,ND_IntentRetLB4,ND_IntentRetSingleLB1,ND_IntentRetSingleLB2,ND_IntentRetSingleLB3,ND_IntentRetSingleLB4,ND_NumRetrieve1,ND_NumRetrieve2,ND_NumRetrieve3,ND_NumRetrieve4,ND_RetrieveLB1,ND_RetrieveLB2,ND_RetrieveLB3,ND_RetrieveLB4,ND_RetrieveSingleLB1,ND_RetrieveSingleLB2,ND_RetrieveSingleLB3,ND_RetrieveSingleLB4,ND_NumTrans1,ND_NumTrans2,ND_NumTrans3,ND_NumTrans4,ND_TransLB1,ND_TransLB2,ND_TransLB3,ND_TransLB4,ND_TransSingleLB1,ND_TransSingleLB2,ND_TransSingleLB3,ND_TransSingleLB4,ND_IntentRetPerLB1,ND_IntentRetPerLB2,ND_IntentRetPerLB3,ND_IntentRetPerLB4,NewND_1IntentRetLB1,NewND_1IntentRetLB2,NewND_1IntentRetLB3,NewND_1IntentRetLB4,NewND_2IntentRetLB1,NewND_2IntentRetLB2,NewND_2IntentRetLB3,NewND_2IntentRetLB4,NewND_AllIntentRetLB1,NewND_AllIntentRetLB2,NewND_AllIntentRetLB3,NewND_AllIntentRetLB4,NewND_IntentRetPerNew1,NewND_IntentRetPerNew2,NewND_IntentRetPerNew3,NewND_IntentRetPerNew4,NewND_TransPerIntentRet1,NewND_TransPerIntentRet2,NewND_TransPerIntentRet3,NewND_TransPerIntentRet4,Donor_NumTrans1,Donor_NumTrans2,Donor_NumTrans3,Donor_NumTrans4,Donor_TransLB1,Donor_TransLB2,Donor_TransLB3,Donor_TransLB4,Donor_TranSingleLB1,Donor_TranSingleLB2,Donor_TranSingleLB3,Donor_TranSingleLB4,TotNumCycles1,TotNumCycles2,TotNumCycles3,TotNumCycles4,TotNumCyclesAll,CycleCancel1,CycleCancel2,CycleCancel3,CycleCancel4,CycleCancelAll,CycleStop1,CycleStop2,CycleStop3,CycleStop4,CycleStopAll,CycleFertPres1,CycleFertPres2,CycleFertPres3,CycleFertPres4,CycleFertPresAll,TransCarrier1,TransCarrier2,TransCarrier3,TransCarrier4,TransCarrierAll,TransFrozEmb1,TransFrozEmb2,TransFrozEmb3,TransFrozEmb4,TransFrozEmbAll,TransICSI1,TransICSI2,TransICSI3,TransICSI4,TransICSIAll,TransPGT1,TransPGT2,TransPGT3,TransPGT4,TransPGTAll,ReasonMale,ReasonEndo,ReasonTubal,ReasonOvul,ReasonUterine,ReasonPGT,ReasonCarrier,ReasonDOR,ReasonBank,ReasonPregLoss,ReasonOtherInfert,ReasonNonInfert,ReasonUnexplained,DonorEggService,DonatedEmbryoService,EmbryoCryoService,EggCryoService,GestCarrierService,SARTmember,LabAccred,NumResearch,CurrentStateAbbrev
227,REPRODUCTIVE MEDICINE & INFERTILITY ASSOCIATES,,WOODBURY,MINNESOTA,"Jacques P. Stassart, MD",263,105,77,24,66.5%,54.3%,39.0%,8.3%,57.4%,50.5%,32.5%,8.3%,257,102,74,22,68.1%,55.9%,40.5%,9.1%,58.8%,52.0%,33.8%,9.1%,346,131,72,12,50.6%,43.5%,41.7%,* / 12,43.6%,40.5%,34.7%,* / 12,1.5,1.8,2.6,12.0,73.6%,63.5%,38.9%,* / 8,79.1%,76.9%,50.0%,* / 8,80.8%,76.9%,55.6%,* / 8,1.1,1.2,1.3,2.0,1.3,1.2,1.0,0.4,13,35,39,5,10 / 13,45.7%,38.5%,* / 5,8 / 13,31.4%,35.9%,* / 5,576,256,175,97,"1,104",3.0%,8.8%,10.7%,18.4%,6.7%,14.5%,6.6%,9.8%,7.8%,11.4%,1.4%,3.5%,1.7%,0.0%,1.8%,2.0%,0.6%,1.0%,1.4%,1.5%,61.9%,62.9%,64.3%,58.0%,62.1%,95.8%,93.3%,89.8%,78.3%,92.8%,14.0%,22.5%,29.6%,4.3%,17.2%,30%,11%,10%,19%,2%,24%,1%,15%,18%,2%,27%,1%,11%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MN
228,"MISSISSIPPI REPRODUCTIVE MEDICINE, PLLC",,FLOWOOD,MISSISSIPPI,"Randall S. Hines, MD",57,23,13,*,43.9%,34.8%,5 / 13,0 / *,38.6%,34.8%,5 / 13,0 / *,55,22,11,*,45.5%,36.4%,5 / 11,0 / *,40.0%,36.4%,5 / 11,0 / *,48,16,6,0,52.1%,8 / 16,5 / 6,,45.8%,8 / 16,5 / 6,,2.3,2.9,2.6,,39.0%,5 / 14,* / 7,0 / *,46.3%,6 / 14,* / 7,0 / *,46.3%,6 / 14,* / 7,0 / *,1.1,1.2,1.1,1.0,0.8,0.6,0.6,0.0,0,0,22,5,,,54.5%,* / 5,,,45.5%,* / 5,99,52,32,18,201,3.8%,16.0%,* / 12,0 / 9,9.2%,8.2%,12.5%,10.3%,* / 18,9.9%,4.0%,1.9%,3.1%,0 / 18,3.0%,2.2%,0.0%,0 / 19,0 / 9,1.0%,100.0%,100.0%,19 / 19,9 / 9,100.0%,100.0%,95.8%,15 / 19,7 / 9,92.9%,91.3%,87.5%,13 / 19,8 / 9,85.7%,29%,25%,20%,24%,11%,4%,<1%,9%,48%,10%,11%,<1%,2%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MS
229,UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,,FLOWOOD,MISSISSIPPI,"John D. Isaacs, MD",31,11,6,6,71.0%,5 / 11,0 / 6,0 / 6,71.0%,5 / 11,0 / 6,0 / 6,31,10,*,*,71.0%,5 / 10,0 / *,0 / *,71.0%,5 / 10,0 / *,0 / *,47,11,*,*,46.8%,5 / 11,0 / *,0 / *,46.8%,5 / 11,0 / *,0 / *,1.4,2.2,,,76.0%,5 / 8,0 / *,0 / *,80.0%,5 / 8,0 / *,0 / *,80.0%,5 / 8,0 / *,0 / *,1.0,1.0,1.3,2.5,1.5,1.1,0.8,0.2,0,*,*,*,,0 / *,0 / *,* / *,,0 / *,0 / *,* / *,68,26,11,6,111,0.0%,0 / 9,* / 6,* / *,7.3%,2.9%,7.7%,* / 9,0 / 5,4.6%,1.5%,0.0%,0 / 11,0 / 6,0.9%,0.0%,0 / 17,0 / 5,0 / 5,0.0%,95.7%,16 / 17,* / 5,* / 5,91.8%,100.0%,17 / 17,5 / 5,5 / 5,100.0%,10.9%,6 / 17,* / 5,0 / 5,17.8%,27%,11%,20%,13%,13%,20%,0%,9%,32%,3%,2%,0%,9%,No,Yes,Yes,Yes,No,No,Yes,0,MS
230,POSITIVE STEPS FERTILITY,,MADISON,MISSISSIPPI,"John P. Parry, MD",37,8,11,*,59.5%,* / 8,* / 11,0 / *,54.1%,* / 8,* / 11,0 / *,36,8,11,*,61.1%,* / 8,* / 11,0 / *,55.6%,* / 8,* / 11,0 / *,56,10,12,*,39.3%,* / 10,* / 12,0 / *,35.7%,* / 10,* / 12,0 / *,1.7,2.7,2.8,,55.9%,* / 6,* / 10,0 / *,58.8%,* / 6,* / 10,0 / *,58.8%,* / 6,* / 10,0 / *,1.0,1.0,1.0,1.0,1.5,1.0,1.1,1.0,*,*,5,0,* / *,0 / *,* / 5,,* / *,0 / *,* / 5,,110,38,22,14,184,2.9%,0 / 18,0 / 10,0 / 8,1.9%,3.7%,7.9%,9.1%,* / 14,6.0%,1.8%,0.0%,0.0%,0 / 14,1.1%,1.1%,0.0%,0 / 13,0 / 9,0.7%,44.8%,56.7%,10 / 13,6 / 9,51.8%,98.9%,100.0%,13 / 13,9 / 9,99.3%,10.3%,36.7%,8 / 13,* / 9,22.3%,21%,17%,31%,30%,7%,2%,0%,17%,18%,5%,23%,3%,5%,Yes,Yes,Yes,Yes,Yes,No,No,0,MS
231,INFERTILITY CENTER OF ST. LOUIS,,CHESTERFIELD,MISSOURI,"Sherman J. Silber, MD",132,51,63,175,32.6%,27.5%,9.5%,4.0%,23.5%,13.7%,6.3%,4.0%,126,47,54,103,34.1%,29.8%,11.1%,6.8%,24.6%,14.9%,7.4%,6.8%,136,42,39,51,31.6%,33.3%,15.4%,13.7%,22.8%,16.7%,10.3%,13.7%,3.1,3.6,10.5,25.0,33.3%,26.9%,3.2%,2.7%,36.0%,30.8%,6.5%,2.7%,36.0%,38.5%,9.7%,2.7%,1.1,1.3,1.3,1.2,1.1,0.8,0.5,0.3,*,16,19,*,* / *,9 / 16,5 / 19,* / *,* / *,8 / 16,* / 19,* / *,222,125,132,384,863,2.5%,4.3%,5.7%,18.9%,10.5%,9.1%,9.0%,14.1%,16.2%,12.9%,27.5%,32.0%,34.8%,32.0%,31.3%,2.3%,10.3%,4.7%,7.3%,5.9%,74.6%,76.5%,87.5%,87.3%,81.7%,80.0%,76.5%,78.1%,67.3%,74.2%,4.6%,2.9%,3.1%,1.2%,2.8%,25%,2%,10%,13%,14%,1%,2%,56%,45%,7%,11%,9%,2%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MO
232,MCRM FERTILITY,,CHESTERFIELD,MISSOURI,"Mira Aubuchon, MD",286,102,102,60,44.8%,31.4%,13.7%,3.3%,37.4%,29.4%,13.7%,3.3%,275,93,93,53,46.5%,34.4%,15.1%,3.8%,38.9%,32.3%,15.1%,3.8%,202,56,38,9,63.4%,57.1%,36.8%,* / 9,53.0%,53.6%,36.8%,* / 9,2.2,3.2,7.3,30.0,49.7%,32.6%,23.3%,* / 19,61.9%,41.3%,30.0%,* / 19,66.7%,50.0%,30.0%,* / 19,1.3,1.7,1.6,1.6,0.8,0.5,0.4,0.2,*,0,40,17,0 / *,,60.0%,9 / 17,0 / *,,57.5%,7 / 17,572,211,169,113,"1,065",0.7%,2.6%,10.9%,3.2%,3.1%,11.1%,16.8%,19.6%,20.7%,14.5%,1.0%,3.3%,4.7%,6.2%,2.6%,2.0%,9.6%,7.1%,8.2%,4.8%,95.6%,94.0%,96.4%,85.7%,94.3%,77.1%,63.9%,64.3%,65.3%,71.6%,77.9%,77.1%,85.7%,65.3%,77.3%,50%,9%,5%,20%,5%,4%,1%,41%,49%,8%,20%,2%,9%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MO
233,MISSOURI FERTILITY,,COLUMBIA,MISSOURI,"Gilbert B. Wilshire, MD",55,16,8,7,78.2%,7 / 16,5 / 8,* / 7,72.7%,6 / 16,5 / 8,* / 7,51,14,8,5,84.3%,7 / 14,5 / 8,* / 5,78.4%,6 / 14,5 / 8,* / 5,59,13,10,*,72.9%,7 / 13,5 / 10,* / *,67.8%,6 / 13,5 / 10,* / *,1.3,2.3,1.6,7.0,79.1%,5 / 12,5 / 6,,86.0%,6 / 12,5 / 6,,86.0%,6 / 12,5 / 6,,1.1,1.2,1.0,,1.0,0.8,1.2,,*,0,18,0,0 / *,,8 / 18,,0 / *,,8 / 18,,100,38,16,15,169,7.8%,0 / 15,0 / 6,0 / *,5.3%,9.4%,2.6%,* / 16,* / 15,7.9%,0.0%,2.6%,0 / 16,0 / 15,0.6%,0.0%,0.0%,0 / 10,0 / 12,0.0%,78.3%,91.7%,9 / 10,10 / 12,83.0%,95.0%,83.3%,9 / 10,11 / 12,91.5%,48.3%,50.0%,* / 10,5 / 12,46.2%,42%,18%,20%,30%,2%,2%,0%,22%,27%,5%,2%,0%,3%,No,No,Yes,Yes,Yes,Yes,Yes,0,MO
234,MU HEALTHCARE,REPRODUCTIVE HEALTH AND FERTILITY CENTER,COLUMBIA,MISSOURI,"Danny M. Schust, MD",7,0,*,*,* / 7,,0 / *,0 / *,* / 7,,0 / *,0 / *,7,0,*,0,* / 7,,0 / *,,* / 7,,0 / *,,*,0,*,0,* / *,,0 / *,,* / *,,0 / *,,7.0,,,,0 / 6,,0 / *,0 / *,* / 6,,0 / *,0 / *,* / 6,,0 / *,0 / *,1.2,,2.0,1.0,0.1,,0.5,0.0,0,*,0,0,,0 / *,,,,0 / *,,,44,9,13,13,79,3.2%,* / 8,* / 11,0 / 5,7.3%,9.3%,* / 8,* / 11,0 / 13,8.0%,4.5%,0 / 9,* / 13,0 / 13,3.8%,0.0%,0 / *,0 / 6,0 / 11,0.0%,35.7%,* / *,* / 6,7 / 11,41.7%,67.9%,* / *,* / 6,8 / 11,66.7%,7.1%,0 / *,0 / 6,* / 11,8.3%,24%,5%,6%,15%,1%,0%,0%,4%,30%,6%,16%,1%,27%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MO
235,MIDWEST WOMEN'S HEALTHCARE SPECIALISTS,,KANSAS CITY,MISSOURI,"Gregory C. Starks, MD",37,19,12,*,56.8%,9 / 19,* / 12,0 / *,35.1%,6 / 19,* / 12,0 / *,30,18,8,*,70.0%,9 / 18,* / 8,0 / *,43.3%,6 / 18,* / 8,0 / *,32,18,5,0,65.6%,9 / 18,* / 5,,40.6%,6 / 18,* / 5,,1.8,2.1,12.0,,60.0%,5 / 11,0 / 7,0 / *,76.0%,5 / 11,0 / 7,0 / *,76.0%,5 / 11,0 / 7,0 / *,1.2,1.0,1.3,1.0,0.9,1.1,0.3,0.0,0,*,*,0,,* / *,* / *,,,* / *,* / *,,45,29,24,*,102,8.3%,5 / 18,* / 14,* / *,19.0%,20.9%,20.8%,19.0%,* / *,20.9%,0.0%,0.0%,0.0%,0 / *,0.0%,0.0%,0 / 19,0 / 15,0 / *,0.0%,54.5%,11 / 19,9 / 15,0 / *,55.1%,97.0%,17 / 19,14 / 15,* / *,94.2%,3.0%,* / 19,5 / 15,0 / *,14.5%,36%,22%,25%,38%,8%,1%,0%,38%,3%,0%,6%,0%,3%,Yes,No,Yes,No,Yes,Yes,Yes,0,MO
236,FERTILITY PARTNERSHIP,,SAINT PETERS,MISSOURI,"David E. Simckes, MD",92,39,40,24,53.3%,28.2%,32.5%,8.3%,35.9%,23.1%,22.5%,8.3%,90,38,38,23,54.4%,28.9%,34.2%,8.7%,36.7%,23.7%,23.7%,8.7%,75,25,25,11,65.3%,44.0%,52.0%,* / 11,44.0%,36.0%,36.0%,* / 11,1.9,3.5,3.1,12.0,53.9%,19.2%,32.0%,* / 14,53.9%,23.1%,32.0%,* / 14,53.9%,23.1%,32.0%,* / 14,1.0,1.2,1.0,1.1,0.8,0.6,0.6,0.4,*,10,7,13,* / *,* / 10,* / 7,* / 13,* / *,* / 10,* / 7,* / 13,185,64,78,62,389,5.1%,8.3%,4.5%,6.7%,5.7%,5.6%,11.5%,9.2%,10.0%,8.0%,1.1%,1.6%,3.8%,0.0%,1.5%,4.7%,7.1%,2.3%,7.3%,5.1%,60.2%,52.4%,59.1%,61.0%,58.8%,100.0%,100.0%,100.0%,100.0%,100.0%,10.9%,14.3%,25.0%,7.3%,13.3%,30%,9%,13%,14%,10%,10%,4%,25%,26%,7%,6%,8%,6%,Yes,Yes,Yes,Yes,Yes,No,No,0,MO
237,CENTER FOR REPRODUCTIVE MEDICINE & ROBOTIC SURGERY,,ST. LOUIS,MISSOURI,"Saji Jacob, MD",33,5,6,0,30.3%,* / 5,* / 6,,12.1%,0 / 5,* / 6,,31,5,6,0,32.3%,* / 5,* / 6,,12.9%,0 / 5,* / 6,,18,*,*,0,10 / 18,* / *,* / *,,* / 18,0 / *,* / *,,3.3,5.0,3.0,,5 / 14,* / *,0 / *,,6 / 14,* / *,* / *,,7 / 14,* / *,* / *,,1.4,1.0,1.3,,0.6,0.3,0.6,,0,*,*,0,,* / *,* / *,,,* / *,* / *,,42,10,22,10,84,0.0%,0 / 7,* / 15,0 / 6,5.7%,7.1%,0 / 10,0 / 19,* / 10,7.4%,2.4%,* / 10,0.0%,0 / 10,2.4%,0 / 18,0 / *,0 / 7,0 / *,0.0%,15 / 18,* / *,7 / 7,* / *,87.1%,16 / 18,* / *,7 / 7,* / *,93.5%,* / 18,* / *,5 / 7,* / *,32.3%,29%,54%,17%,15%,6%,7%,0%,26%,64%,8%,8%,0%,0%,Yes,Yes,Yes,Yes,Yes,No,Yes,0,MO
238,FERTILITY AND REPRODUCTIVE MEDICINE CENTER,AT WASHINGTON UNIVERSITY SCHOOL OF MEDICINE AND BARNES-JEWISH HOSPITAL,ST. LOUIS,MISSOURI,"Randall R. Odem, MD",231,133,93,36,63.2%,41.4%,21.5%,22.2%,55.4%,36.1%,20.4%,22.2%,224,118,89,34,65.2%,46.6%,22.5%,23.5%,57.1%,40.7%,21.3%,23.5%,265,131,85,32,55.1%,42.0%,23.5%,25.0%,48.3%,36.6%,22.4%,25.0%,1.6,2.4,4.7,4.5,69.9%,41.7%,26.1%,* / 17,77.1%,47.2%,28.3%,* / 17,77.8%,50.0%,28.3%,* / 17,1.1,1.2,1.4,1.2,1.2,1.0,0.8,1.0,10,17,32,*,7 / 10,10 / 17,28.1%,* / *,5 / 10,10 / 17,28.1%,* / *,459,206,155,98,918,5.6%,5.6%,11.8%,10.2%,7.2%,5.9%,5.0%,9.8%,9.8%,6.7%,7.6%,5.3%,1.3%,3.1%,5.6%,2.3%,3.0%,0.9%,0.0%,2.0%,43.6%,52.1%,41.8%,38.2%,44.8%,78.1%,74.5%,60.0%,60.3%,72.6%,10.5%,9.1%,12.7%,8.8%,10.4%,25%,8%,14%,18%,3%,16%,1%,16%,15%,3%,21%,2%,15%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MO
239,STL FERTILITY,,ST. LOUIS,MISSOURI,"Molina B. Dayal, MD",161,66,49,28,34.8%,31.8%,24.5%,3.6%,31.7%,30.3%,16.3%,3.6%,145,61,41,22,38.6%,34.4%,29.3%,4.5%,35.2%,32.8%,19.5%,4.5%,151,48,27,*,37.1%,43.8%,44.4%,* / *,33.8%,41.7%,29.6%,* / *,2.9,3.1,4.1,28.0,41.1%,19.2%,22.7%,0 / 13,45.3%,34.6%,22.7%,0 / 13,46.3%,38.5%,22.7%,0 / 13,1.3,1.4,1.3,1.6,1.0,0.6,0.5,0.0,*,5,15,*,0 / *,* / 5,10 / 15,* / *,0 / *,* / 5,10 / 15,* / *,242,122,95,41,500,5.3%,10.7%,12.8%,* / 16,8.2%,11.0%,7.8%,14.6%,10.0%,10.8%,2.5%,4.9%,1.1%,0.0%,2.6%,2.1%,0.0%,2.2%,4.2%,1.8%,85.0%,89.7%,88.9%,83.3%,86.6%,86.4%,82.4%,91.1%,70.8%,84.8%,22.1%,52.9%,66.7%,37.5%,38.3%,12%,6%,12%,19%,1%,18%,1%,23%,36%,6%,50%,<1%,1%,No,No,Yes,Yes,Yes,Yes,Yes,0,MO
240,BILLINGS CLINIC,REPRODUCTIVE MEDICINE AND FERTILITY CARE,BILLINGS,MONTANA,"Colleen Milroy, MD",79,41,14,10,51.9%,31.7%,* / 14,0 / 10,50.6%,29.3%,* / 14,0 / 10,77,35,11,8,53.2%,37.1%,* / 11,0 / 8,51.9%,34.3%,* / 11,0 / 8,78,27,8,*,52.6%,48.1%,* / 8,0 / *,51.3%,44.4%,* / 8,0 / *,1.9,3.2,4.7,,53.8%,41.4%,* / 8,0 / 8,56.9%,41.4%,* / 8,0 / 8,56.9%,44.8%,* / 8,0 / 8,1.0,1.2,1.1,1.3,1.1,0.7,0.7,0.2,*,18,10,7,* / *,10 / 18,5 / 10,6 / 7,* / *,10 / 18,5 / 10,5 / 7,210,116,49,31,406,7.5%,5.3%,22.2%,0 / 6,8.7%,11.3%,10.6%,18.6%,25.8%,13.1%,1.4%,5.2%,2.0%,3.2%,2.7%,0.8%,4.7%,4.8%,0.0%,2.2%,84.1%,76.6%,85.7%,65.0%,80.5%,69.0%,75.0%,71.4%,70.0%,71.0%,8.7%,23.4%,47.6%,20.0%,17.3%,27%,15%,16%,23%,2%,4%,1%,20%,35%,6%,8%,4%,12%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,MT
241,REPRODUCTIVE HEALTH SPECIALISTS,,ELKHORN,NEBRASKA,"Carolyn M. Doherty, MD",191,70,47,20,49.2%,42.9%,21.3%,10.0%,35.6%,34.3%,19.1%,10.0%,178,56,36,16,52.8%,53.6%,27.8%,* / 16,38.2%,42.9%,25.0%,* / 16,228,59,33,6,41.2%,50.8%,30.3%,* / 6,29.8%,40.7%,27.3%,* / 6,2.0,2.3,4.7,10.0,57.4%,41.5%,23.8%,* / 8,59.7%,51.2%,38.1%,* / 8,60.5%,53.7%,38.1%,* / 8,1.2,1.3,1.4,1.1,1.3,0.9,0.9,0.6,*,0,35,0,0 / *,,37.1%,,0 / *,,31.4%,,561,222,135,58,976,5.9%,7.6%,13.9%,19.2%,8.6%,11.5%,14.4%,12.8%,18.9%,12.8%,0.7%,2.3%,2.2%,0.0%,1.2%,1.2%,5.0%,0.0%,0.0%,1.9%,93.8%,93.3%,91.5%,89.3%,93.2%,98.5%,96.7%,96.6%,96.4%,97.7%,55.1%,77.5%,66.1%,60.7%,61.7%,34%,7%,14%,19%,4%,10%,1%,6%,34%,4%,25%,5%,16%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,NE
242,"HEARTLAND CENTER FOR REPRODUCTIVE MEDICINE, PC",,OMAHA,NEBRASKA,"Victoria M. Maclin, MD",127,60,43,11,49.6%,33.3%,11.6%,0 / 11,44.1%,28.3%,7.0%,0 / 11,113,47,38,6,55.8%,42.6%,13.2%,0 / 6,49.6%,36.2%,7.9%,0 / 6,128,44,17,*,49.2%,45.5%,5 / 17,0 / *,43.8%,38.6%,* / 17,0 / *,2.0,3.0,8.6,,53.0%,39.4%,* / 13,0 / *,63.9%,45.5%,* / 13,0 / *,65.1%,51.5%,* / 13,0 / *,1.3,1.4,1.5,1.5,1.0,0.7,0.5,0.2,6,0,50,0,0 / 6,,40.0%,,0 / 6,,40.0%,,251,103,86,67,507,5.2%,8.5%,11.5%,9.7%,7.6%,19.3%,16.2%,25.0%,25.0%,20.3%,3.2%,1.9%,1.2%,1.5%,2.4%,0.0%,1.5%,2.4%,0.0%,0.6%,64.0%,80.6%,80.5%,86.5%,72.5%,62.2%,62.7%,75.6%,51.4%,62.8%,7.9%,13.4%,41.5%,21.6%,15.2%,34%,14%,7%,18%,2%,3%,<1%,31%,20%,10%,7%,3%,8%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,NE
243,GREEN VALLEY FERTILITY PARTNERS,,HENDERSON,NEVADA,"Jeffrey D. Fisch, MD",72,48,68,31,37.5%,31.3%,14.7%,3.2%,29.2%,27.1%,13.2%,3.2%,68,47,63,26,39.7%,31.9%,15.9%,3.8%,30.9%,27.7%,14.3%,3.8%,61,42,30,7,44.3%,35.7%,33.3%,* / 7,34.4%,31.0%,30.0%,* / 7,2.7,3.2,6.8,31.0,40.5%,36.7%,25.0%,0 / 8,43.2%,43.3%,25.0%,0 / 8,51.4%,43.3%,35.0%,0 / 8,1.5,1.4,2.0,1.4,0.7,0.9,0.5,0.2,11,0,20,*,* / 11,,10.0%,0 / *,* / 11,,5.0%,0 / *,158,95,67,88,408,10.2%,2.0%,6.3%,8.6%,7.4%,8.1%,11.7%,21.9%,37.3%,17.4%,0.0%,4.2%,3.0%,0.0%,1.5%,2.5%,4.7%,0.0%,0.0%,2.3%,60.2%,64.1%,52.8%,66.0%,61.1%,78.0%,75.0%,83.3%,68.1%,76.2%,43.2%,46.9%,52.8%,40.4%,44.9%,30%,10%,21%,17%,5%,2%,1%,24%,18%,1%,3%,1%,13%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,NV
244,FERTILITY CENTER OF LAS VEGAS,,LAS VEGAS,NEVADA,"Bruce Shapiro, MD, PhD",96,44,40,49,58.3%,34.1%,27.5%,8.2%,52.1%,34.1%,27.5%,8.2%,93,44,36,36,60.2%,34.1%,30.6%,11.1%,53.8%,34.1%,30.6%,11.1%,82,22,19,9,68.3%,68.2%,11 / 19,* / 9,61.0%,68.2%,11 / 19,* / 9,1.7,2.9,3.6,12.3,63.2%,39.3%,27.3%,* / 18,69.1%,39.3%,36.4%,* / 18,69.1%,39.3%,36.4%,* / 18,1.1,1.1,1.2,1.7,0.9,0.5,0.5,0.1,0,0,120,*,,,67.5%,* / *,,,65.0%,* / *,308,177,130,221,836,6.6%,10.1%,7.8%,15.7%,9.4%,17.9%,14.8%,24.0%,32.4%,22.0%,3.2%,2.3%,5.4%,0.9%,2.8%,18.1%,25.3%,36.5%,54.9%,33.3%,100.0%,100.0%,100.0%,100.0%,100.0%,90.4%,92.0%,86.5%,67.0%,83.6%,47.9%,63.2%,69.2%,59.3%,58.6%,19%,1%,9%,6%,<1%,<1%,14%,49%,49%,1%,3%,<1%,2%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,NV
245,NEVADA FERTILITY CENTER,,LAS VEGAS,NEVADA,"Russell A. Foulk, MD",100,41,61,37,41.0%,14.6%,18.0%,5.4%,26.0%,9.8%,18.0%,5.4%,98,38,56,32,41.8%,15.8%,19.6%,6.3%,26.5%,10.5%,19.6%,6.3%,84,27,26,7,48.8%,22.2%,42.3%,* / 7,31.0%,14.8%,42.3%,* / 7,2.4,6.8,5.5,18.5,49.1%,* / 16,* / 16,* / 13,54.7%,* / 16,* / 16,* / 13,54.7%,* / 16,* / 16,* / 13,1.1,1.1,1.1,1.0,0.9,0.7,0.5,0.2,0,0,30,0,,,53.3%,,,,50.0%,,138,92,70,80,380,2.7%,7.3%,2.7%,11.9%,5.7%,5.1%,3.4%,14.5%,13.3%,8.1%,8.0%,12.0%,2.9%,6.3%,7.6%,2.5%,9.6%,3.0%,12.8%,6.4%,77.5%,94.2%,87.9%,89.7%,85.8%,77.5%,75.0%,66.7%,46.2%,69.1%,47.5%,63.5%,72.7%,69.2%,59.8%,20%,8%,13%,11%,5%,43%,2%,39%,40%,3%,77%,2%,1%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,NV
246,NEVADA FERTILITY INSTITUTE,,LAS VEGAS,NEVADA,"Cindy Duke, MD, PhD",0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,8,0,,,* / 8,,,,* / 8,,73,48,42,36,199,2.0%,2.8%,12.5%,7.7%,5.6%,2.8%,12.8%,7.9%,5.9%,6.8%,19.2%,10.4%,9.5%,8.3%,13.1%,0.0%,0 / 12,0 / 10,* / 10,1.8%,100.0%,12 / 12,10 / 10,10 / 10,100.0%,95.7%,12 / 12,10 / 10,10 / 10,98.2%,43.5%,11 / 12,9 / 10,7 / 10,67.3%,14%,4%,13%,25%,1%,62%,1%,40%,87%,8%,13%,6%,9%,Yes,Yes,Yes,Yes,Yes,No,Yes,0,NV
247,RED ROCK FERTILITY CENTER,,LAS VEGAS,NEVADA,"Eva D. Littman, MD",61,35,43,32,60.7%,22.9%,18.6%,3.1%,39.3%,14.3%,18.6%,3.1%,59,31,39,27,62.7%,25.8%,20.5%,3.7%,40.7%,16.1%,20.5%,3.7%,55,14,13,7,67.3%,8 / 14,8 / 13,* / 7,43.6%,5 / 14,8 / 13,* / 7,1.6,4.4,5.4,32.0,61.1%,24.0%,17.4%,* / 14,63.0%,24.0%,17.4%,* / 14,63.0%,24.0%,17.4%,* / 14,1.1,1.3,1.2,1.6,0.9,0.4,0.3,0.2,0,0,21,*,,,66.7%,0 / *,,,61.9%,0 / *,124,57,69,76,326,11.3%,13.3%,18.6%,10.6%,13.1%,10.3%,7.5%,27.9%,31.0%,18.3%,1.6%,5.3%,2.9%,1.3%,2.5%,5.6%,9.7%,8.3%,17.2%,9.4%,96.3%,87.1%,95.8%,100.0%,94.9%,92.6%,93.5%,87.5%,72.4%,87.7%,92.6%,77.4%,83.3%,93.1%,87.7%,24%,3%,13%,16%,2%,2%,2%,31%,48%,6%,14%,7%,8%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,NV
